지번주소,UMAP1,UMAP2,HDBSCAN_cluster_without_noise
서울특별시 광진구 광장동  102,9.011013,2.594765,88
서울특별시 광진구 광장동  105,9.014873,2.6018722,88
서울특별시 광진구 광장동  106,9.016152,2.702837,171
서울특별시 광진구 광장동  107,9.001335,2.7103467,171
서울특별시 광진구 광장동  108,9.107546,2.5965965,94
서울특별시 광진구 광장동  110,9.097708,2.5866828,94
서울특별시 광진구 광장동  112,9.073398,2.595559,94
서울특별시 광진구 광장동  114,9.11035,2.5729873,94
서울특별시 광진구 광장동  117,9.005076,2.708149,171
서울특별시 광진구 광장동  118,8.997585,2.7159972,171
서울특별시 광진구 광장동  120,9.008739,2.7037935,171
서울특별시 광진구 광장동  121,8.997452,2.560232,88
서울특별시 광진구 광장동  125,9.001955,2.574364,88
서울특별시 광진구 광장동  127,9.097038,2.5629787,94
서울특별시 광진구 광장동  131-1,8.955948,2.560202,88
서울특별시 광진구 광장동  136,13.216655,1.9842345,25
서울특별시 광진구 광장동  137,8.971784,2.590342,88
서울특별시 광진구 광장동  145-8,7.7797613,-0.30677834,810
서울특별시 광진구 광장동  148-11,8.970419,2.548465,88
서울특별시 광진구 광장동  148-21,9.081761,2.630999,94
서울특별시 광진구 광장동  148-22,9.072563,2.6485734,94
서울특별시 광진구 광장동  148-3,9.067343,2.6241314,94
서울특별시 광진구 광장동  148-4,7.729312,-0.34110862,810
서울특별시 광진구 광장동  17,12.704532,1.7806598,98
서울특별시 광진구 광장동  182-1,9.095663,2.6597078,94
서울특별시 광진구 광장동  182-12,9.020442,2.7777843,104
서울특별시 광진구 광장동  182-14,9.027756,2.78033,104
서울특별시 광진구 광장동  182-15,9.030334,2.7717657,104
서울특별시 광진구 광장동  182-3,9.0349245,2.770258,104
서울특별시 광진구 광장동  182-6,9.026014,2.7812479,104
서울특별시 광진구 광장동  182-8,9.096219,2.6610754,94
서울특별시 광진구 광장동  182-9,9.097075,2.6515512,94
서울특별시 광진구 광장동  184-1,8.97383,2.7741811,172
서울특별시 광진구 광장동  184-10,9.031,2.7749648,104
서울특별시 광진구 광장동  184-11,9.004483,2.632629,88
서울특별시 광진구 광장동  185-5,8.960194,2.8112364,156
서울특별시 광진구 광장동  185-6,8.96443,2.7273982,172
서울특별시 광진구 광장동  186,9.011006,2.6377685,88
서울특별시 광진구 광장동  187-13,9.011436,2.7042253,171
서울특별시 광진구 광장동  187-2,9.042073,2.673542,94
서울특별시 광진구 광장동  187-6,9.020625,2.7667272,104
서울특별시 광진구 광장동  218-1,7.8110046,-0.32441804,810
서울특별시 광진구 광장동  237,9.608827,1.9401933,21
서울특별시 광진구 광장동  237-9,9.828771,2.4065266,79
서울특별시 광진구 광장동  238,7.691599,-0.12338411,826
서울특별시 광진구 광장동  239-6,9.8036175,2.3913918,79
서울특별시 광진구 광장동  240-1,9.829404,2.4070098,79
서울특별시 광진구 광장동  241-1,9.780973,2.4082584,79
서울특별시 광진구 광장동  242-1,9.572129,1.9637698,21
서울특별시 광진구 광장동  243-12,9.831041,2.410558,79
서울특별시 광진구 광장동  243-8,9.789537,2.4144695,79
서울특별시 광진구 광장동  243-9,9.7771845,2.417018,79
서울특별시 광진구 광장동  244-1,10.004302,3.2973068,77
서울특별시 광진구 광장동  244-12,10.012399,3.3096874,78
서울특별시 광진구 광장동  244-23,10.014783,3.3121953,78
서울특별시 광진구 광장동  244-26,9.841856,2.40688,79
서울특별시 광진구 광장동  244-27,9.826338,2.423607,79
서울특별시 광진구 광장동  244-28,9.835823,2.3988464,79
서울특별시 광진구 광장동  244-6,10.012711,3.3095436,78
서울특별시 광진구 광장동  245-10,9.999722,3.292684,77
서울특별시 광진구 광장동  245-11,10.006305,3.2982144,77
서울특별시 광진구 광장동  245-13,10.012027,3.308997,78
서울특별시 광진구 광장동  245-15,10.005929,3.3010519,77
서울특별시 광진구 광장동  245-16,9.850087,2.401257,79
서울특별시 광진구 광장동  245-2,9.825018,2.410182,79
서울특별시 광진구 광장동  245-3,9.999521,3.2909188,77
서울특별시 광진구 광장동  245-4,10.0079365,3.3018062,77
서울특별시 광진구 광장동  245-7,10.005388,3.2995663,77
서울특별시 광진구 광장동  245-9,9.998025,3.290614,77
서울특별시 광진구 광장동  246-10,9.84234,2.4008038,79
서울특별시 광진구 광장동  246-11,9.84101,2.374793,79
서울특별시 광진구 광장동  246-12,9.847751,2.39708,79
서울특별시 광진구 광장동  246-20,9.839778,2.3931885,79
서울특별시 광진구 광장동  246-6,9.837613,2.397818,79
서울특별시 광진구 광장동  246-7,9.842864,2.4019575,79
서울특별시 광진구 광장동  246-9,9.84494,2.4035113,79
서울특별시 광진구 광장동  247-10,10.008044,3.305259,77
서울특별시 광진구 광장동  247-11,10.012361,3.307624,78
서울특별시 광진구 광장동  247-17,9.829262,2.40468,79
서울특별시 광진구 광장동  247-2,9.813518,2.4055965,79
서울특별시 광진구 광장동  247-20,9.832099,2.4035025,79
서울특별시 광진구 광장동  247-22,9.840068,2.4016004,79
서울특별시 광진구 광장동  247-23,9.821807,2.4109874,79
서울특별시 광진구 광장동  247-24,9.827927,2.408869,79
서울특별시 광진구 광장동  248-10,10.008863,3.303373,77
서울특별시 광진구 광장동  248-19,10.012099,3.3095067,78
서울특별시 광진구 광장동  248-2,10.003791,3.3010175,77
서울특별시 광진구 광장동  248-20,9.767336,2.4161086,79
서울특별시 광진구 광장동  248-22,10.0141115,3.3086002,78
서울특별시 광진구 광장동  248-25,9.7092,2.4152725,79
서울특별시 광진구 광장동  248-26,9.80302,2.4071593,79
서울특별시 광진구 광장동  248-28,10.006878,3.3050733,77
서울특별시 광진구 광장동  248-3,10.002884,3.299962,77
서울특별시 광진구 광장동  248-33,9.997053,3.2932978,77
서울특별시 광진구 광장동  248-38,10.012434,3.308673,78
서울특별시 광진구 광장동  248-5,10.01109,3.308062,78
서울특별시 광진구 광장동  248-7,10.00547,3.3011675,77
서울특별시 광진구 광장동  249-2,10.005404,3.3050213,77
서울특별시 광진구 광장동  249-3,9.999067,3.2983904,77
서울특별시 광진구 광장동  249-7,10.012261,3.3095722,78
서울특별시 광진구 광장동  256-1,10.001939,3.2996767,77
서울특별시 광진구 광장동  257-10,10.003411,3.303177,77
서울특별시 광진구 광장동  257-12,10.0075445,3.303446,77
서울특별시 광진구 광장동  257-5,10.004029,3.3029816,77
서울특별시 광진구 광장동  257-8,10.001872,3.299681,77
서울특별시 광진구 광장동  257-9,10.011076,3.3080792,78
서울특별시 광진구 광장동  258-10,9.483682,2.429433,80
서울특별시 광진구 광장동  258-11,9.489049,2.4249694,80
서울특별시 광진구 광장동  258-12,9.532254,2.418732,80
서울특별시 광진구 광장동  258-13,9.52806,2.428438,80
서울특별시 광진구 광장동  258-14,9.502166,2.4139009,80
서울특별시 광진구 광장동  258-15,9.508868,2.4350326,80
서울특별시 광진구 광장동  258-16,9.52014,2.415044,80
서울특별시 광진구 광장동  258-18,9.503226,2.4223719,80
서울특별시 광진구 광장동  258-19,9.539405,2.411024,80
서울특별시 광진구 광장동  258-20,9.506149,2.4253032,80
서울특별시 광진구 광장동  258-22,9.575648,2.3723495,80
서울특별시 광진구 광장동  258-25,10.012317,3.3097608,78
서울특별시 광진구 광장동  258-26,10.012338,3.3107405,78
서울특별시 광진구 광장동  258-27,10.003624,3.3025043,77
서울특별시 광진구 광장동  258-28,9.567356,2.3547192,80
서울특별시 광진구 광장동  258-30,9.595836,2.3881035,80
서울특별시 광진구 광장동  258-31,9.585473,2.413062,80
서울특별시 광진구 광장동  258-32,9.517933,2.4410686,80
서울특별시 광진구 광장동  258-33,9.554083,2.4229496,80
서울특별시 광진구 광장동  258-34,9.4885435,2.492774,80
서울특별시 광진구 광장동  258-36,10.012017,3.3091462,78
서울특별시 광진구 광장동  258-37,10.015009,3.3113732,78
서울특별시 광진구 광장동  258-39,10.013427,3.3100455,78
서울특별시 광진구 광장동  258-40,10.01244,3.3092725,78
서울특별시 광진구 광장동  258-41,10.012878,3.3102703,78
서울특별시 광진구 광장동  258-42,10.012227,3.3094666,78
서울특별시 광진구 광장동  258-45,10.00062,3.2958272,77
서울특별시 광진구 광장동  258-7,9.495486,2.4400852,80
서울특별시 광진구 광장동  258-8,9.478247,2.4149563,80
서울특별시 광진구 광장동  259-3,10.012014,3.3092058,78
서울특별시 광진구 광장동  259-6,9.598158,2.4329004,80
서울특별시 광진구 광장동  259-7,9.608718,2.440481,80
서울특별시 광진구 광장동  259-8,9.63526,2.4563339,80
서울특별시 광진구 광장동  259-9,9.636339,2.434434,80
서울특별시 광진구 광장동  264,9.527401,2.4022875,80
서울특별시 광진구 광장동  264-11,9.439924,2.4581163,80
서울특별시 광진구 광장동  264-4,9.469011,2.3963737,80
서울특별시 광진구 광장동  264-5,9.446659,2.452492,80
서울특별시 광진구 광장동  270-3,9.429146,2.4016058,80
서울특별시 광진구 광장동  271-1,9.471077,2.408086,80
서울특별시 광진구 광장동  271-11,9.448268,2.4505224,80
서울특별시 광진구 광장동  271-15,9.452324,2.4491882,80
서울특별시 광진구 광장동  272-1,8.9125395,2.8501346,156
서울특별시 광진구 광장동  272-10,8.87977,2.8780138,156
서울특별시 광진구 광장동  272-11,8.894744,2.8511362,156
서울특별시 광진구 광장동  272-14,8.893865,2.8770108,156
서울특별시 광진구 광장동  272-15,8.933241,2.8445168,156
서울특별시 광진구 광장동  272-16,8.969978,2.7409654,172
서울특별시 광진구 광장동  272-18,8.943376,2.8323262,156
서울특별시 광진구 광장동  272-19,8.941426,2.8218408,156
서울특별시 광진구 광장동  272-2,8.999545,2.5834613,88
서울특별시 광진구 광장동  272-24,8.905972,2.8686433,156
서울특별시 광진구 광장동  272-31,8.890776,2.8737972,156
서울특별시 광진구 광장동  272-33,8.905735,2.859549,156
서울특별시 광진구 광장동  272-4,8.929603,2.8418388,156
서울특별시 광진구 광장동  272-5,8.901033,2.8666277,156
서울특별시 광진구 광장동  272-6,8.909519,2.842123,156
서울특별시 광진구 광장동  272-9,8.901874,2.855208,156
서울특별시 광진구 광장동  275-12,8.879592,2.8716006,156
서울특별시 광진구 광장동  276,8.818683,2.9482093,71
서울특별시 광진구 광장동  276-1,13.722105,2.4167573,30
서울특별시 광진구 광장동  276-10,13.5435915,2.205283,49
서울특별시 광진구 광장동  276-11,13.5870495,2.210186,49
서울특별시 광진구 광장동  276-14,8.806223,2.9630363,71
서울특별시 광진구 광장동  276-19,8.89259,2.8594582,156
서울특별시 광진구 광장동  276-2,13.558078,2.2088006,49
서울특별시 광진구 광장동  276-23,8.802146,2.9644184,71
서울특별시 광진구 광장동  276-29,13.5380125,2.2096171,49
서울특별시 광진구 광장동  276-30,13.552767,2.2112396,49
서울특별시 광진구 광장동  276-4,13.557232,2.2161648,49
서울특별시 광진구 광장동  276-7,13.573532,2.2452228,49
서울특별시 광진구 광장동  276-8,13.564957,2.1940427,49
서울특별시 광진구 광장동  277-1,8.890706,2.865398,156
서울특별시 광진구 광장동  277-11,8.916182,2.8596563,156
서울특별시 광진구 광장동  277-12,8.974283,2.745258,172
서울특별시 광진구 광장동  280-1,8.932235,2.8389676,156
서울특별시 광진구 광장동  280-3,8.922383,2.852065,156
서울특별시 광진구 광장동  281-4,8.964368,2.7563424,172
서울특별시 광진구 광장동  282-1,8.959899,2.7765572,172
서울특별시 광진구 광장동  285-1,8.898654,2.8752532,156
서울특별시 광진구 광장동  285-11,8.808402,2.9616678,71
서울특별시 광진구 광장동  285-12,8.802662,2.9626288,71
서울특별시 광진구 광장동  285-14,8.928007,2.8484151,156
서울특별시 광진구 광장동  285-15,8.943381,2.840173,156
서울특별시 광진구 광장동  285-16,8.906326,2.8639834,156
서울특별시 광진구 광장동  285-17,8.920459,2.8555627,156
서울특별시 광진구 광장동  285-19,8.921574,2.846918,156
서울특별시 광진구 광장동  285-29,8.803439,2.9676647,71
서울특별시 광진구 광장동  285-3,8.806372,2.9665124,71
서울특별시 광진구 광장동  285-30,8.800527,2.9662166,71
서울특별시 광진구 광장동  285-31,8.928696,2.8468351,156
서울특별시 광진구 광장동  285-4,8.804719,2.9663074,71
서울특별시 광진구 광장동  285-6,8.804027,2.9649467,71
서울특별시 광진구 광장동  285-7,8.9276,2.8457992,156
서울특별시 광진구 광장동  285-8,8.907116,2.860997,156
서울특별시 광진구 광장동  287-1,9.544402,2.4399848,80
서울특별시 광진구 광장동  287-4,9.577535,2.4427333,80
서울특별시 광진구 광장동  287-5,10.012426,3.309549,78
서울특별시 광진구 광장동  288,10.012836,3.3103082,78
서울특별시 광진구 광장동  288-1,9.592042,2.4337819,80
서울특별시 광진구 광장동  288-16,10.012561,3.3107235,78
서울특별시 광진구 광장동  288-17,10.012981,3.3106155,78
서울특별시 광진구 광장동  311,12.675063,1.7399065,98
서울특별시 광진구 광장동  315-2,8.998246,2.7132316,171
서울특별시 광진구 광장동  317-1,8.957661,2.769674,172
서울특별시 광진구 광장동  318-6,12.675405,1.7659997,98
서울특별시 광진구 광장동  319-1,12.665843,1.7808299,98
서울특별시 광진구 광장동  319-33,12.617937,1.7841336,98
서울특별시 광진구 광장동  320-15,8.98828,2.7028043,171
서울특별시 광진구 광장동  320-6,8.911584,2.8578722,156
서울특별시 광진구 광장동  320-8,8.965346,2.7417123,172
서울특별시 광진구 광장동  322-10,8.774121,2.977928,71
서울특별시 광진구 광장동  322-4,8.904289,2.8547401,156
서울특별시 광진구 광장동  322-7,8.894006,2.8635066,156
서울특별시 광진구 광장동  323-2,8.913878,2.8490279,156
서울특별시 광진구 광장동  323-3,8.959209,2.7592628,172
서울특별시 광진구 광장동  325-1,9.000667,2.6031334,88
서울특별시 광진구 광장동  325-4,9.000042,2.5903976,88
서울특별시 광진구 광장동  326-11,8.906718,2.8480697,156
서울특별시 광진구 광장동  326-13,8.992664,2.6431928,88
서울특별시 광진구 광장동  326-15,8.95052,2.7615101,172
서울특별시 광진구 광장동  326-16,8.962528,2.772416,172
