지번주소,UMAP1,UMAP2,HDBSCAN_cluster_without_noise
서울특별시 광진구 광장동  105,2.8500762,-0.6606697,207
서울특별시 광진구 광장동  106,2.8394895,-0.7815154,175
서울특별시 광진구 광장동  107,2.8282201,-0.7757765,175
서울특별시 광진구 광장동  108,2.876515,-0.6374837,207
서울특별시 광진구 광장동  110,2.8220026,-0.64341277,207
서울특별시 광진구 광장동  112,2.8469095,-0.6198317,207
서울특별시 광진구 광장동  117,2.8617527,-0.74336815,175
서울특별시 광진구 광장동  118,2.8545363,-0.7439057,175
서울특별시 광진구 광장동  120,2.8261354,-0.7576433,175
서울특별시 광진구 광장동  148-11,5.0992255,1.0594878,901
서울특별시 광진구 광장동  148-21,2.9776695,-0.9450399,106
서울특별시 광진구 광장동  148-22,2.956125,-0.94478834,106
서울특별시 광진구 광장동  148-6,5.114368,1.0496887,901
서울특별시 광진구 광장동  182-1,2.9015412,-0.9924766,106
서울특별시 광진구 광장동  182-12,2.7011135,-1.0011863,123
서울특별시 광진구 광장동  182-14,2.6821048,-1.0377765,123
서울특별시 광진구 광장동  182-15,2.6768456,-1.0191624,123
서울특별시 광진구 광장동  182-3,2.6530304,-1.0599912,123
서울특별시 광진구 광장동  182-6,2.6494033,-1.0651587,123
서울특별시 광진구 광장동  182-8,2.8749542,-1.0202599,106
서울특별시 광진구 광장동  182-9,2.8908517,-0.9966749,106
서울특별시 광진구 광장동  184-1,2.654953,-0.76439977,230
서울특별시 광진구 광장동  184-10,2.640947,-1.0563232,123
서울특별시 광진구 광장동  184-2,2.8198848,-0.7539167,175
서울특별시 광진구 광장동  185-1,2.520126,-0.8465798,194
서울특별시 광진구 광장동  185-2,2.6669831,-0.72539663,230
서울특별시 광진구 광장동  185-6,2.7594075,-0.7059909,230
서울특별시 광진구 광장동  187-13,2.8281863,-0.75233656,175
서울특별시 광진구 광장동  187-2,2.8198068,-0.7567131,175
서울특별시 광진구 광장동  187-6,2.6795726,-1.0425512,123
서울특별시 광진구 광장동  198-1,4.065564,1.7846048,875
서울특별시 광진구 광장동  201-2,11.336558,4.1315074,224
서울특별시 광진구 광장동  218-1,5.6284904,1.1393453,909
서울특별시 광진구 광장동  237,5.3767166,0.89548546,867
서울특별시 광진구 광장동  239-6,1.5444314,0.77447844,61
서울특별시 광진구 광장동  240-1,1.4497421,0.67550516,61
서울특별시 광진구 광장동  243-12,1.4233545,0.648455,61
서울특별시 광진구 광장동  243-8,1.3910152,0.58637565,61
서울특별시 광진구 광장동  243-9,1.4028052,0.6208799,61
서울특별시 광진구 광장동  244-1,9.583702,1.0721972,383
서울특별시 광진구 광장동  244-12,9.613067,1.0323652,383
서울특별시 광진구 광장동  244-21,9.567883,1.0670104,383
서울특별시 광진구 광장동  244-23,9.567611,1.0704217,383
서울특별시 광진구 광장동  244-26,1.4495575,0.6859208,61
서울특별시 광진구 광장동  244-27,1.4434648,0.6675158,61
서울특별시 광진구 광장동  244-28,1.4763478,0.7201495,61
서울특별시 광진구 광장동  244-6,9.550712,1.0834543,383
서울특별시 광진구 광장동  245-10,9.54755,1.0764216,383
서울특별시 광진구 광장동  245-11,9.53878,1.0843415,383
서울특별시 광진구 광장동  245-12,9.536516,1.0837373,383
서울특별시 광진구 광장동  245-13,9.553902,1.0761197,383
서울특별시 광진구 광장동  245-15,9.544602,1.0768304,383
서울특별시 광진구 광장동  245-16,1.4582107,0.71163696,61
서울특별시 광진구 광장동  245-2,1.4228393,0.6505117,61
서울특별시 광진구 광장동  245-3,9.542226,1.083418,383
서울특별시 광진구 광장동  245-4,9.539594,1.0761993,383
서울특별시 광진구 광장동  245-7,9.53909,1.0771363,383
서울특별시 광진구 광장동  245-8,9.931601,0.89431435,409
서울특별시 광진구 광장동  245-9,9.558465,1.0597188,383
서울특별시 광진구 광장동  246-10,1.4706585,0.726606,61
서울특별시 광진구 광장동  246-11,1.4984698,0.7535565,61
서울특별시 광진구 광장동  246-12,1.4592285,0.6983445,61
서울특별시 광진구 광장동  246-20,1.454866,0.67280287,61
서울특별시 광진구 광장동  246-6,1.4747902,0.72879666,61
서울특별시 광진구 광장동  246-7,1.4579675,0.6963866,61
서울특별시 광진구 광장동  246-9,1.4612207,0.68363553,61
서울특별시 광진구 광장동  247,9.555231,1.0900849,383
서울특별시 광진구 광장동  247-10,9.568036,1.0659263,383
서울특별시 광진구 광장동  247-11,9.563357,1.0885918,383
서울특별시 광진구 광장동  247-13,9.572798,1.0616598,383
서울특별시 광진구 광장동  247-17,1.4474107,0.68561715,61
서울특별시 광진구 광장동  247-18,1.4464908,0.6711439,61
서울특별시 광진구 광장동  247-2,1.4267994,0.67436445,61
서울특별시 광진구 광장동  247-20,1.4845004,0.7106704,61
서울특별시 광진구 광장동  247-22,1.4544144,0.6821917,61
서울특별시 광진구 광장동  247-23,1.4426779,0.66600376,61
서울특별시 광진구 광장동  247-24,1.4356166,0.65137756,61
서울특별시 광진구 광장동  248-10,9.528085,1.117508,383
서울특별시 광진구 광장동  248-19,9.577873,1.0755947,383
서울특별시 광진구 광장동  248-2,9.5626545,1.0968826,383
서울특별시 광진구 광장동  248-20,1.4294753,0.6391331,61
서울특별시 광진구 광장동  248-22,9.545236,1.1190339,383
서울특별시 광진구 광장동  248-25,1.4039648,0.5977624,61
서울특별시 광진구 광장동  248-26,1.4253273,0.6372579,61
서울특별시 광진구 광장동  248-28,9.553605,1.082697,383
서울특별시 광진구 광장동  248-3,9.559121,1.0788746,383
서울특별시 광진구 광장동  248-33,9.622867,1.0216331,383
