지번주소,UMAP1,UMAP2,HDBSCAN_cluster_without_noise
서울특별시 광진구 광장동  105,-1.6535302,12.051132,77
서울특별시 광진구 광장동  106,-1.6554116,12.049907,77
서울특별시 광진구 광장동  107,-1.6384305,12.039934,77
서울특별시 광진구 광장동  108,-0.7767116,12.278508,33
서울특별시 광진구 광장동  110,-0.7911163,12.263251,33
서울특별시 광진구 광장동  112,-0.82386357,12.235266,33
서울특별시 광진구 광장동  114,-0.779042,12.280546,33
서울특별시 광진구 광장동  117,-1.6319134,12.046035,77
서울특별시 광진구 광장동  118,-1.6495249,12.040657,77
서울특별시 광진구 광장동  120,-1.6694906,12.043516,77
서울특별시 광진구 광장동  124,-0.74586785,12.29322,33
서울특별시 광진구 광장동  125,-1.6393378,12.042567,77
서울특별시 광진구 광장동  127,-0.8074822,12.247404,33
서울특별시 광진구 광장동  137,-1.6891847,11.990208,216
서울특별시 광진구 광장동  145-8,-1.9251179,6.6896415,806
서울특별시 광진구 광장동  148-21,-1.732922,11.993538,217
서울특별시 광진구 광장동  148-3,-1.7243878,11.981377,217
서울특별시 광진구 광장동  148-4,-1.9405657,6.63222,806
서울특별시 광진구 광장동  182-1,-1.7292159,11.988856,217
서울특별시 광진구 광장동  182-12,-1.708834,12.000812,216
서울특별시 광진구 광장동  182-14,-1.7006862,11.994631,216
서울특별시 광진구 광장동  182-15,-1.7071536,11.995061,216
서울특별시 광진구 광장동  182-3,-1.707064,11.999207,216
서울특별시 광진구 광장동  182-6,-1.699289,11.987883,216
서울특별시 광진구 광장동  182-8,-1.735058,11.99013,217
서울특별시 광진구 광장동  184-10,-1.705432,11.994737,216
서울특별시 광진구 광장동  185-2,-1.839528,12.10507,195
서울특별시 광진구 광장동  185-5,-1.7021233,11.998172,216
서울특별시 광진구 광장동  187-6,-1.7138009,11.999327,216
서울특별시 광진구 광장동  198-1,-0.31269976,12.571221,132
서울특별시 광진구 광장동  218-1,-1.906065,6.721742,806
서울특별시 광진구 광장동  237,6.0942526,4.677375,243
서울특별시 광진구 광장동  237-9,-1.8317518,13.008434,30
서울특별시 광진구 광장동  238,-1.9356318,12.821472,31
서울특별시 광진구 광장동  239-6,-1.959553,12.921217,31
서울특별시 광진구 광장동  240-1,-1.9658939,12.908983,31
서울특별시 광진구 광장동  241-1,-1.9726179,12.896767,31
서울특별시 광진구 광장동  242-1,-1.9563912,12.908036,31
서울특별시 광진구 광장동  243-12,-1.9700745,12.911836,31
서울특별시 광진구 광장동  243-8,-1.9867829,12.874462,31
서울특별시 광진구 광장동  243-9,-1.9868312,12.86697,31
서울특별시 광진구 광장동  244-1,-3.177151,14.15443,9
서울특별시 광진구 광장동  244-12,-3.147254,14.167905,9
서울특별시 광진구 광장동  244-21,-3.1772826,14.152652,9
서울특별시 광진구 광장동  244-23,-3.163956,14.162421,9
서울특별시 광진구 광장동  244-24,-3.1621268,14.158263,9
서울특별시 광진구 광장동  244-26,-1.9510628,12.926449,31
서울특별시 광진구 광장동  244-27,-1.9685675,12.90527,31
서울특별시 광진구 광장동  244-28,-1.9556143,12.922021,31
서울특별시 광진구 광장동  244-6,-3.1673033,14.1609745,9
서울특별시 광진구 광장동  244-7,-3.1797676,14.149913,9
서울특별시 광진구 광장동  245-10,-3.1762464,14.157469,9
서울특별시 광진구 광장동  245-11,-3.181756,14.153506,9
서울특별시 광진구 광장동  245-12,-3.177174,14.160192,9
서울특별시 광진구 광장동  245-13,-3.1756804,14.154956,9
서울특별시 광진구 광장동  245-15,-3.1758475,14.155807,9
서울특별시 광진구 광장동  245-16,-1.9522036,12.923424,31
서울특별시 광진구 광장동  245-2,-1.9696708,12.902946,31
서울특별시 광진구 광장동  245-3,-3.1800947,14.153226,9
서울특별시 광진구 광장동  245-4,-3.1796029,14.1587105,9
서울특별시 광진구 광장동  245-7,-3.1812603,14.153405,9
서울특별시 광진구 광장동  245-8,-3.1737347,14.14213,9
서울특별시 광진구 광장동  245-9,-3.177224,14.155897,9
서울특별시 광진구 광장동  246-10,-1.953525,12.923989,31
서울특별시 광진구 광장동  246-11,-1.9445488,12.919367,31
서울특별시 광진구 광장동  246-12,-1.9578804,12.9168215,31
서울특별시 광진구 광장동  246-20,-1.9638803,12.9102335,31
서울특별시 광진구 광장동  246-6,-1.9554487,12.923529,31
서울특별시 광진구 광장동  246-7,-1.9612137,12.91655,31
서울특별시 광진구 광장동  246-9,-1.9573642,12.912439,31
서울특별시 광진구 광장동  247,-3.1660805,14.161625,9
서울특별시 광진구 광장동  247-10,-3.167171,14.1616535,9
서울특별시 광진구 광장동  247-11,-3.175286,14.155033,9
서울특별시 광진구 광장동  247-13,-3.1717172,14.158021,9
서울특별시 광진구 광장동  247-17,-1.9645957,12.909862,31
서울특별시 광진구 광장동  247-18,-1.9693159,12.903569,31
서울특별시 광진구 광장동  247-2,-1.9727733,12.893039,31
서울특별시 광진구 광장동  247-20,-1.9659537,12.910285,31
서울특별시 광진구 광장동  247-22,-1.9619759,12.913453,31
서울특별시 광진구 광장동  247-23,-1.9775437,12.889986,31
서울특별시 광진구 광장동  247-24,-1.9688402,12.903673,31
서울특별시 광진구 광장동  248-10,-3.1748028,14.157938,9
서울특별시 광진구 광장동  248-19,-3.1703165,14.158944,9
서울특별시 광진구 광장동  248-2,-3.170884,14.158007,9
서울특별시 광진구 광장동  248-20,-1.9643453,12.901743,31
서울특별시 광진구 광장동  248-22,-3.163445,14.163994,9
서울특별시 광진구 광장동  248-24,-3.1765842,14.152246,9
서울특별시 광진구 광장동  248-25,-1.9798948,12.882291,31
서울특별시 광진구 광장동  248-26,-1.9756136,12.883154,31
서울특별시 광진구 광장동  248-28,-3.16663,14.1609335,9
서울특별시 광진구 광장동  248-3,-3.1398828,14.190513,9
서울특별시 광진구 광장동  248-33,-3.176322,14.153477,9
서울특별시 광진구 광장동  248-38,-3.1750803,14.1553335,9
서울특별시 광진구 광장동  248-5,-3.1717591,14.158658,9
서울특별시 광진구 광장동  248-7,-3.1674464,14.163455,9
서울특별시 광진구 광장동  249-1,-3.1754777,14.154631,9
서울특별시 광진구 광장동  249-2,-3.1747155,14.155408,9
서울특별시 광진구 광장동  249-3,-3.1758964,14.1537,9
서울특별시 광진구 광장동  249-7,-3.1659398,14.161676,9
서울특별시 광진구 광장동  250,-1.9462926,6.633751,806
서울특별시 광진구 광장동  256-1,-3.1731632,14.156031,9
서울특별시 광진구 광장동  256-3,-3.1794086,14.1499405,9
서울특별시 광진구 광장동  256-4,-3.181211,14.146035,9
서울특별시 광진구 광장동  257-10,-3.177915,14.151204,9
서울특별시 광진구 광장동  257-12,-3.2107856,14.118942,9
서울특별시 광진구 광장동  257-2,-3.1759627,14.153482,9
서울특별시 광진구 광장동  257-3,-3.1763003,14.152982,9
서울특별시 광진구 광장동  257-4,-3.1752844,14.154351,9
서울특별시 광진구 광장동  257-5,-3.178399,14.150925,9
서울특별시 광진구 광장동  257-7,-3.1796553,14.15001,9
서울특별시 광진구 광장동  257-8,-3.1676083,14.160156,9
서울특별시 광진구 광장동  257-9,-3.1626027,14.155763,9
서울특별시 광진구 광장동  258-10,-2.134481,12.571837,55
서울특별시 광진구 광장동  258-11,-2.1333408,12.592664,55
서울특별시 광진구 광장동  258-12,-2.1402485,12.584102,55
서울특별시 광진구 광장동  258-13,-2.1332996,12.605241,55
서울특별시 광진구 광장동  258-14,-2.1364996,12.580084,55
서울특별시 광진구 광장동  258-15,-2.1357625,12.593211,55
서울특별시 광진구 광장동  258-16,-2.1224234,12.586002,55
서울특별시 광진구 광장동  258-18,-2.1062446,12.662696,54
서울특별시 광진구 광장동  258-19,-2.1129596,12.637715,54
서울특별시 광진구 광장동  258-20,-2.1149287,12.648362,54
서울특별시 광진구 광장동  258-22,-2.1009457,12.667105,54
서울특별시 광진구 광장동  258-25,-3.1626809,14.1646185,9
서울특별시 광진구 광장동  258-26,-3.163135,14.163774,9
서울특별시 광진구 광장동  258-27,-3.1687508,14.160703,9
서울특별시 광진구 광장동  258-28,-2.0700002,12.686433,54
서울특별시 광진구 광장동  258-3,-3.1597369,14.149461,9
서울특별시 광진구 광장동  258-30,-2.095888,12.677748,54
서울특별시 광진구 광장동  258-31,-2.0923584,12.692438,54
서울특별시 광진구 광장동  258-32,-2.107468,12.648775,54
서울특별시 광진구 광장동  258-33,-2.1022127,12.687588,54
서울특별시 광진구 광장동  258-34,-2.11046,12.64581,54
서울특별시 광진구 광장동  258-35,-2.1057723,12.653625,54
서울특별시 광진구 광장동  258-36,-3.1626232,14.1638365,9
서울특별시 광진구 광장동  258-37,-3.1623175,14.164346,9
서울특별시 광진구 광장동  258-38,-3.1525369,14.172268,9
서울특별시 광진구 광장동  258-39,-3.1628428,14.163773,9
서울특별시 광진구 광장동  258-4,-2.137168,12.594367,55
서울특별시 광진구 광장동  258-40,-3.1645248,14.161765,9
서울특별시 광진구 광장동  258-41,-3.1649876,14.162231,9
서울특별시 광진구 광장동  258-42,-3.1631415,14.162662,9
서울특별시 광진구 광장동  258-45,-3.1772375,14.152369,9
서울특별시 광진구 광장동  258-7,-2.1332698,12.599095,55
서울특별시 광진구 광장동  258-8,-2.120903,12.576699,55
서울특별시 광진구 광장동  259-3,-3.1582003,14.156309,9
서울특별시 광진구 광장동  259-6,-2.104647,12.647359,54
서울특별시 광진구 광장동  259-7,-2.1023357,12.655443,54
서울특별시 광진구 광장동  259-8,-2.086662,12.702216,54
서울특별시 광진구 광장동  259-9,-2.0974789,12.6697,54
서울특별시 광진구 광장동  264,-2.1095433,12.583447,55
서울특별시 광진구 광장동  264-11,-2.112872,12.492576,55
서울특별시 광진구 광장동  264-4,-2.1247602,12.545313,55
서울특별시 광진구 광장동  271-1,-2.1179218,12.518293,55
서울특별시 광진구 광장동  271-11,-2.1251116,12.531129,55
서울특별시 광진구 광장동  271-15,-2.124316,12.517327,55
서울특별시 광진구 광장동  271-17,-2.1043139,12.514833,55
서울특별시 광진구 광장동  272-1,-1.9200705,12.179943,252
서울특별시 광진구 광장동  272-10,-1.9264157,12.181505,252
서울특별시 광진구 광장동  272-11,-1.9311749,12.183633,252
서울특별시 광진구 광장동  272-15,-1.9299887,12.181063,252
서울특별시 광진구 광장동  272-16,-1.8629136,12.130988,247
서울특별시 광진구 광장동  272-18,-1.8810998,12.135013,247
서울특별시 광진구 광장동  272-19,-1.8739493,12.136941,247
서울특별시 광진구 광장동  272-21,-1.8661178,12.1327095,247
서울특별시 광진구 광장동  272-24,-1.9119942,12.171131,253
서울특별시 광진구 광장동  272-31,-1.9249814,12.183246,252
서울특별시 광진구 광장동  272-33,-1.9225957,12.183729,252
서울특별시 광진구 광장동  272-4,-1.8720167,12.131907,247
서울특별시 광진구 광장동  272-5,-1.9105865,12.167346,253
서울특별시 광진구 광장동  272-6,-1.8961024,12.1495,253
서울특별시 광진구 광장동  272-9,-1.9122795,12.173065,253
서울특별시 광진구 광장동  276,-2.0551596,12.279323,65
서울특별시 광진구 광장동  276-1,-0.4217267,13.02931,78
서울특별시 광진구 광장동  276-10,-0.37271583,13.059719,78
서울특별시 광진구 광장동  276-11,-0.41608697,13.0224,78
서울특별시 광진구 광장동  276-14,-2.007038,12.216741,65
서울특별시 광진구 광장동  276-16,-2.0248795,12.251867,65
서울특별시 광진구 광장동  276-19,-1.9330447,12.18599,252
서울특별시 광진구 광장동  276-2,-0.40227115,13.038892,78
서울특별시 광진구 광장동  276-23,-2.047555,12.270154,65
서울특별시 광진구 광장동  276-29,-0.4223402,13.02682,78
서울특별시 광진구 광장동  276-30,-0.4229097,13.027082,78
서울특별시 광진구 광장동  276-32,-1.9934089,12.235838,65
서울특별시 광진구 광장동  276-4,-0.43223092,13.037409,78
서울특별시 광진구 광장동  276-7,-0.4251376,13.02456,78
서울특별시 광진구 광장동  276-8,-0.42700502,13.023666,78
서울특별시 광진구 광장동  277-11,-1.90986,12.168905,253
서울특별시 광진구 광장동  277-12,-1.835695,12.1136675,195
서울특별시 광진구 광장동  280-1,-1.8830171,12.134578,247
서울특별시 광진구 광장동  281-4,-1.838417,12.108812,195
서울특별시 광진구 광장동  282-1,-1.8407202,12.106298,195
서울특별시 광진구 광장동  285-11,-2.0595367,12.27979,65
서울특별시 광진구 광장동  285-12,-2.0330179,12.23717,65
서울특별시 광진구 광장동  285-14,-1.8933899,12.161907,253
서울특별시 광진구 광장동  285-15,-1.8896934,12.148256,253
서울특별시 광진구 광장동  285-17,-1.893511,12.152755,253
서울특별시 광진구 광장동  285-19,-1.8710408,12.136582,247
서울특별시 광진구 광장동  285-29,-2.0516496,12.269526,65
서울특별시 광진구 광장동  285-3,-2.050199,12.277646,65
서울특별시 광진구 광장동  285-30,-2.0489824,12.269593,65
서울특별시 광진구 광장동  285-31,-1.8984334,12.157922,253
서울특별시 광진구 광장동  285-4,-2.0857112,12.300273,65
서울특별시 광진구 광장동  285-6,-2.0497854,12.273959,65
서울특별시 광진구 광장동  285-8,-1.908655,12.169972,253
서울특별시 광진구 광장동  287-1,-2.0858145,12.6158905,54
서울특별시 광진구 광장동  287-4,-2.0953534,12.628467,54
서울특별시 광진구 광장동  287-5,-3.1617382,14.161741,9
서울특별시 광진구 광장동  288,-3.160961,14.162133,9
서울특별시 광진구 광장동  288-1,-2.1022577,12.642075,54
서울특별시 광진구 광장동  288-16,-3.162519,14.162447,9
서울특별시 광진구 광장동  288-17,-3.1621046,14.162216,9
서울특별시 광진구 광장동  311,-0.2763071,12.492145,132
서울특별시 광진구 광장동  313-3,-0.33642116,12.515486,132
서울특별시 광진구 광장동  315,-1.8789315,12.142162,247
서울특별시 광진구 광장동  317-1,-1.8609581,12.134152,247
서울특별시 광진구 광장동  318-6,-0.27686924,12.539924,132
서울특별시 광진구 광장동  319-1,-0.34384227,12.537421,132
서울특별시 광진구 광장동  319-33,-0.32270578,12.507808,132
서울특별시 광진구 광장동  320-5,-1.9206201,12.179206,252
서울특별시 광진구 광장동  320-6,-1.8934182,12.152183,253
서울특별시 광진구 광장동  320-8,-1.8342676,12.108629,195
서울특별시 광진구 광장동  322-10,-2.016958,12.255971,65
서울특별시 광진구 광장동  322-14,-1.9006252,12.160752,253
서울특별시 광진구 광장동  322-3,-1.8235667,12.10301,195
서울특별시 광진구 광장동  322-4,-1.926018,12.185781,252
서울특별시 광진구 광장동  322-6,-1.8263618,12.097688,195
서울특별시 광진구 광장동  322-7,-1.928522,12.190285,252
서울특별시 광진구 광장동  322-8,-1.8661832,12.134349,247
서울특별시 광진구 광장동  323-2,-1.8625497,12.129661,247
서울특별시 광진구 광장동  323-3,-1.810045,12.088531,175
서울특별시 광진구 광장동  325-4,-1.7961469,12.088929,175
서울특별시 광진구 광장동  325-6,-1.83225,12.103362,195
서울특별시 광진구 광장동  326-11,-1.9281936,12.192283,252
서울특별시 광진구 광장동  326-13,-1.8061746,12.091484,175
서울특별시 광진구 광장동  326-15,-1.8282628,12.103193,195
서울특별시 광진구 광장동  326-16,-1.8286428,12.100882,195
서울특별시 광진구 광장동  326-6,-1.9053264,12.167244,253
서울특별시 광진구 광장동  326-7,-2.046452,12.274357,65
서울특별시 광진구 광장동  326-8,-2.0249133,12.247561,65
서울특별시 광진구 광장동  326-9,-1.9037212,12.164172,253
서울특별시 광진구 광장동  327-1,-1.8360393,12.11662,195
서울특별시 광진구 광장동  330-3,-1.8505585,12.115135,195
서울특별시 광진구 광장동  330-8,-1.8272076,12.104037,195
서울특별시 광진구 광장동  331-1,-1.8688427,12.13061,247
서울특별시 광진구 광장동  331-3,-1.8101434,12.094078,175
서울특별시 광진구 광장동  332-1,-2.0742595,12.290805,65
서울특별시 광진구 광장동  332-3,-2.0692432,12.282627,65
서울특별시 광진구 광장동  333,-1.8738611,12.132619,247
서울특별시 광진구 광장동  334-1,-2.0621972,12.280395,65
서울특별시 광진구 광장동  334-11,-2.0547922,12.274,65
서울특별시 광진구 광장동  334-12,-1.798188,12.078114,175
서울특별시 광진구 광장동  334-14,-2.047289,12.268949,65
서울특별시 광진구 광장동  334-15,-2.059907,12.278475,65
서울특별시 광진구 광장동  334-16,-1.880744,12.1341095,247
서울특별시 광진구 광장동  334-17,-1.8703662,12.131916,247
서울특별시 광진구 광장동  336-1,-1.8003675,12.091156,175
서울특별시 광진구 광장동  337-1,-1.8938779,12.154979,253
서울특별시 광진구 광장동  337-4,-1.7334917,11.99281,217
서울특별시 광진구 광장동  339-17,-1.7338078,11.9945135,217
서울특별시 광진구 광장동  339-3,-1.7441766,12.006532,217
서울특별시 광진구 광장동  339-9,-1.7446856,12.005473,217
서울특별시 광진구 광장동  340-1,-1.7135689,11.978671,216
서울특별시 광진구 광장동  340-10,-1.7077074,11.996227,216
서울특별시 광진구 광장동  340-11,-1.7094195,11.996835,216
