지번주소,UMAP1,UMAP2,HDBSCAN_cluster_without_noise
서울특별시 광진구 광장동  104,5.477084,9.608908,3
서울특별시 광진구 광장동  105,5.2041926,9.341188,3
서울특별시 광진구 광장동  106,7.037618,7.8476334,3
서울특별시 광진구 광장동  107,7.150563,7.880716,3
서울특별시 광진구 광장동  108,7.473243,7.31875,3
서울특별시 광진구 광장동  112,6.335913,8.460686,3
서울특별시 광진구 광장동  114,7.4537096,7.2943163,3
서울특별시 광진구 광장동  117,7.1464357,7.835737,3
서울특별시 광진구 광장동  118,7.2222037,7.7943788,3
서울특별시 광진구 광장동  124,7.4800477,7.2835326,3
서울특별시 광진구 광장동  127,6.417378,8.431663,3
서울특별시 광진구 광장동  131-1,5.6796885,5.6358566,5
서울특별시 광진구 광장동  136,6.9887943,4.7719283,5
서울특별시 광진구 광장동  148-21,7.0424333,7.8209662,3
서울특별시 광진구 광장동  148-22,7.1032753,7.8840914,3
서울특별시 광진구 광장동  148-6,5.923372,5.2975464,5
서울특별시 광진구 광장동  182-12,7.394666,8.096151,3
서울특별시 광진구 광장동  182-14,7.409602,8.141156,3
서울특별시 광진구 광장동  182-15,7.3640385,8.065747,3
서울특별시 광진구 광장동  182-3,7.408864,8.142352,3
서울특별시 광진구 광장동  182-6,7.399799,8.127875,3
서울특별시 광진구 광장동  184-1,7.3387456,7.883098,3
서울특별시 광진구 광장동  184-10,7.408823,8.126415,3
서울특별시 광진구 광장동  184-11,7.1620727,7.737407,3
서울특별시 광진구 광장동  185-1,7.592379,7.7862806,3
서울특별시 광진구 광장동  185-2,7.359584,7.845356,3
서울특별시 광진구 광장동  185-5,7.526589,7.8035,3
서울특별시 광진구 광장동  185-6,7.315185,7.783065,3
서울특별시 광진구 광장동  188-14,5.8842554,4.115993,5
서울특별시 광진구 광장동  198-1,6.9210157,4.685213,5
서울특별시 광진구 광장동  201-2,-0.71238256,7.0665684,1
서울특별시 광진구 광장동  231-1,6.452065,4.6865134,5
서울특별시 광진구 광장동  238,6.541535,4.2284226,5
서울특별시 광진구 광장동  240-1,8.307594,4.082503,5
서울특별시 광진구 광장동  242-1,6.5199027,4.2638574,5
서울특별시 광진구 광장동  244-1,2.5242362,5.7446384,1
서울특별시 광진구 광장동  244-12,2.5145204,5.7649975,1
서울특별시 광진구 광장동  244-21,2.5230982,5.7447844,1
서울특별시 광진구 광장동  244-23,2.5180042,5.771303,1
서울특별시 광진구 광장동  244-24,2.4544995,5.765878,1
서울특별시 광진구 광장동  244-26,8.366205,3.897138,5
서울특별시 광진구 광장동  244-27,8.357106,3.9906468,5
서울특별시 광진구 광장동  244-6,2.507409,5.7848134,1
서울특별시 광진구 광장동  244-7,2.2109714,5.9154553,1
서울특별시 광진구 광장동  245-10,2.5403469,5.726423,1
서울특별시 광진구 광장동  245-11,2.5414352,5.692127,1
서울특별시 광진구 광장동  245-12,2.538217,5.7200923,1
서울특별시 광진구 광장동  245-13,2.54307,5.7543664,1
서울특별시 광진구 광장동  245-15,2.527736,5.749268,1
서울특별시 광진구 광장동  245-2,8.364672,4.0240264,5
서울특별시 광진구 광장동  245-3,2.540317,5.745889,1
서울특별시 광진구 광장동  245-4,2.5517116,5.677713,1
서울특별시 광진구 광장동  245-7,2.5439541,5.715177,1
서울특별시 광진구 광장동  245-8,2.2377458,5.906804,1
