지번주소,UMAP1,UMAP2,OPTICS_cluster_all,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  102,3.575164,19.988613,0,0
서울특별시 광진구 광장동  104,3.5873284,19.95864,0,0
서울특별시 광진구 광장동  105,3.5761523,19.929106,0,0
서울특별시 광진구 광장동  106,3.5878618,19.98394,0,0
서울특별시 광진구 광장동  107,3.5919,20.011518,0,0
서울특별시 광진구 광장동  108,3.5882716,19.992422,0,0
서울특별시 광진구 광장동  110,3.5860274,19.985842,0,0
서울특별시 광진구 광장동  112,3.5844557,19.99709,0,0
서울특별시 광진구 광장동  114,3.5819054,19.995466,0,0
서울특별시 광진구 광장동  117,3.5549903,20.024197,0,0
서울특별시 광진구 광장동  118,3.5282872,20.067257,0,0
서울특별시 광진구 광장동  120,3.5495546,20.036509,0,0
서울특별시 광진구 광장동  121,3.5524297,20.02573,0,0
서울특별시 광진구 광장동  124,3.5801957,20.01359,0,0
서울특별시 광진구 광장동  125,3.576987,19.968218,0,0
서울특별시 광진구 광장동  127,3.575298,20.022127,0,0
서울특별시 광진구 광장동  130,3.5751014,20.031979,0,0
서울특별시 광진구 광장동  131-1,3.4822633,19.805923,-1,2
서울특별시 광진구 광장동  136,3.5507061,20.082512,0,0
서울특별시 광진구 광장동  137,3.4652917,19.7756,13,24
서울특별시 광진구 광장동  145-8,3.5263662,19.769636,-1,2
서울특별시 광진구 광장동  148-11,3.3979673,19.740387,13,24
서울특별시 광진구 광장동  148-21,3.4344065,19.77804,13,24
서울특별시 광진구 광장동  148-22,3.4414186,19.77063,13,24
서울특별시 광진구 광장동  148-3,3.4363337,19.76431,13,24
서울특별시 광진구 광장동  148-4,1.6494632,12.0629015,-1,626
서울특별시 광진구 광장동  148-6,3.453286,19.791565,13,24
서울특별시 광진구 광장동  17,-3.7412999,9.224478,1618,2185
서울특별시 광진구 광장동  182-1,3.4280133,19.76016,13,24
서울특별시 광진구 광장동  182-12,3.4133167,20.230581,1,8
서울특별시 광진구 광장동  182-14,3.419997,20.223825,1,8
서울특별시 광진구 광장동  182-15,3.419129,20.223568,1,8
서울특별시 광진구 광장동  182-3,3.4008524,20.251894,2,9
서울특별시 광진구 광장동  182-6,3.4006722,20.262344,2,9
서울특별시 광진구 광장동  182-8,3.4278352,19.760193,13,24
서울특별시 광진구 광장동  182-9,3.4221706,19.758144,13,24
서울특별시 광진구 광장동  184-1,3.4462757,20.150698,-1,1
서울특별시 광진구 광장동  184-10,3.384994,20.279873,2,9
서울특별시 광진구 광장동  184-11,3.4462779,20.180012,-1,1
서울특별시 광진구 광장동  184-2,3.431137,20.21063,-1,1
서울특별시 광진구 광장동  184-3,3.4154356,20.2432,1,8
서울특별시 광진구 광장동  185-1,3.410862,20.258738,2,9
서울특별시 광진구 광장동  185-5,3.4196064,20.202522,-1,1
서울특별시 광진구 광장동  185-6,3.3432484,20.775156,5,12
서울특별시 광진구 광장동  186,3.3991592,20.25845,2,9
서울특별시 광진구 광장동  187-13,3.4430637,20.170076,-1,1
서울특별시 광진구 광장동  187-2,3.411173,20.246712,2,9
서울특별시 광진구 광장동  187-6,3.4292066,20.221575,1,8
서울특별시 광진구 광장동  188-14,3.388934,20.335432,-1,1
서울특별시 광진구 광장동  188-27,3.379257,20.366518,3,10
서울특별시 광진구 광장동  198-1,3.3302047,20.525171,4,11
서울특별시 광진구 광장동  201-2,-4.090246,12.224548,1611,2178
서울특별시 광진구 광장동  210-1,13.296625,11.630773,-1,498
서울특별시 광진구 광장동  218-1,-3.3116832,6.1394024,1469,2039
서울특별시 광진구 광장동  22-1,-3.7395637,9.227962,1618,2185
서울특별시 광진구 광장동  226,-3.7456157,9.21504,1618,2185
