지번주소,HDBSCAN_cluster_without_noise,인구밀도,총 사업체수,반경 1km 이내 불법주정차 단속 수,토지면적,공시지가(원/면적),역과의최단거리,반경 1km 이내 주차장수,위도,경도
서울특별시 광진구 구의동  57-2,0,62794.7,8,12,144.5,4905000.0,555,88,37.5500935,127.09324
서울특별시 광진구 구의동  57-41,0,62794.7,8,12,158.3,4854000.0,526,87,37.5501326,127.0931166
서울특별시 광진구 구의동  612-11,0,21451.4,17,20,136.0,3392000.0,709,67,37.548504,127.0856262
서울특별시 광진구 구의동  612-12,0,21451.4,17,20,46.0,3392000.0,721,66,37.54840129999999,127.0856603
서울특별시 광진구 구의동  612-13,0,21451.4,17,20,95.0,3357000.0,625,66,37.54842420000001,127.0857311
서울특별시 광진구 구의동  612-14,0,21451.4,17,20,109.0,2883000.0,633,66,37.5483283,127.0858011
서울특별시 광진구 구의동  612-17,0,21451.4,17,20,102.0,3392000.0,643,64,37.5482357,127.0858261
서울특별시 광진구 구의동  612-18,0,21451.4,17,24,99.0,3787000.0,641,67,37.5482988,127.085922
서울특별시 광진구 구의동  612-19,0,21451.4,17,20,93.0,3424000.0,630,68,37.5483882,127.0858642
서울특별시 광진구 구의동  612-20,0,21451.4,17,20,99.0,3459000.0,614,69,37.5484634,127.085971
서울특별시 광진구 구의동  612-21,0,21451.4,17,20,149.0,3787000.0,636,69,37.5483841,127.0860223
서울특별시 광진구 구의동  612-22,0,21451.4,17,20,129.0,3862000.0,604,70,37.5484745,127.086098
서울특별시 광진구 구의동  612-23,0,21451.4,17,20,119.0,3787000.0,597,70,37.5485134,127.0861691
서울특별시 광진구 구의동  612-4,0,21451.4,17,20,93.0,3459000.0,629,69,37.5484952,127.0858091
서울특별시 광진구 구의동  613-21,0,39729.0,23,20,149.0,3853000.0,491,74,37.5488686,127.0874199
서울특별시 광진구 구의동  616-1,0,21451.4,17,22,289.0,4255000.0,564,72,37.5487354,127.0865748
서울특별시 광진구 구의동  616-5,0,21451.4,17,22,99.0,4014000.0,520,71,37.5487211,127.0867637
서울특별시 광진구 구의동  617-12,0,21451.4,17,20,112.0,3862000.0,615,64,37.5481373,127.0863707
서울특별시 광진구 구의동  617-13,0,21451.4,17,20,139.0,3459000.0,607,65,37.5481826,127.0864545
서울특별시 광진구 구의동  617-16,0,21451.4,17,20,142.0,3945000.0,650,68,37.5482692,127.0860832
서울특별시 광진구 구의동  617-17,0,21451.4,17,20,109.0,4023000.0,660,64,37.5481951,127.086136
서울특별시 광진구 구의동  617-26,0,21451.4,17,20,147.0,4135000.0,766,61,37.5480108,127.0857875
서울특별시 광진구 구의동  617-28,0,21451.4,17,20,112.0,3822000.0,676,61,37.5479294,127.0860391
서울특별시 광진구 구의동  617-29,0,21451.4,17,20,119.0,3822000.0,670,60,37.5478744,127.0860733
서울특별시 광진구 구의동  617-30,0,21451.4,17,20,136.0,3747000.0,662,60,37.54781860000001,127.0861202
서울특별시 광진구 구의동  617-5,0,21451.4,17,18,125.0,4212000.0,550,66,37.5483752,127.0867503
서울특별시 광진구 구의동  617-8,0,21451.4,17,18,126.0,3392000.0,596,66,37.5482182,127.086589
서울특별시 광진구 군자동  2-10,0,29431.2,34,32,204.6,5003000.0,466,86,37.5542167,127.0771856
서울특별시 광진구 군자동  2-11,0,29431.2,34,32,207.3,4758000.0,501,86,37.5542615,127.0770543
서울특별시 광진구 군자동  2-12,0,29431.2,34,32,440.3,4712000.0,449,88,37.5544445,127.0771529
서울특별시 광진구 군자동  2-13,0,29431.2,34,32,142.1,4899000.0,477,89,37.5545485,127.077048
서울특별시 광진구 군자동  2-14,0,29431.2,34,32,142.1,4712000.0,491,86,37.5544361,127.0769846
서울특별시 광진구 군자동  2-15,0,29431.2,34,32,206.0,4758000.0,506,85,37.5543062,127.0769249
서울특별시 광진구 군자동  2-16,0,29431.2,34,32,138.8,4758000.0,509,82,37.5543397,127.0767556
서울특별시 광진구 군자동  2-18,0,29431.2,34,32,153.0,4758000.0,487,84,37.5545334,127.0768352
서울특별시 광진구 군자동  2-19,0,29431.2,34,32,155.4,4899000.0,478,88,37.5546193,127.0768857
서울특별시 광진구 군자동  2-20,0,29431.2,34,32,317.7,4758000.0,521,85,37.5546486,127.0767038
서울특별시 광진구 군자동  2-21,0,29431.2,34,40,133.6,4575000.0,539,82,37.5545108,127.0766616
